time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1763699239850802700,0.198802734375,0.022335315123200417,0.0008480403921566904,0.1523202657699585,0.9880784153938293,-0.005377889610826969,-0.305789977312088,-0.046030621975660324
1763699239870845000,0.218844970703125,0.02085844799876213,0.001379552180878818,0.15178054571151733,0.988193154335022,-0.0037794176023453474,-0.3047288656234741,-0.04278940707445145
1763699239891027200,0.239027099609375,0.01902526058256626,0.002383754588663578,0.15261732041835785,0.9880993366241455,-0.001149979536421597,-0.306467741727829,-0.038681648671627045
1763699239900880400,0.24888037109375,0.01772879809141159,0.0030186199583113194,0.1526809185743332,0.9881119132041931,0.0005787641275674105,-0.306620717048645,-0.035790909081697464
1763699239910886700,0.25888671875,0.01540448609739542,0.003974135499447584,0.1524656116962433,0.9881806969642639,0.0033110473304986954,-0.30621257424354553,-0.030663998797535896
1763699239920883700,0.2688837890625,0.01218939758837223,0.0052470797672867775,0.15221211314201355,0.9882587790489197,0.006984096951782703,-0.3057178556919098,-0.02359120547771454
1763699239930884000,0.278884033203125,0.009265708737075329,0.00657506100833416,0.15237246453762054,0.9882578253746033,0.010667932219803333,-0.3060435354709625,-0.017105748876929283
1763699239940841700,0.288841796875,0.0069741737097501755,0.008172818459570408,0.1528286337852478,0.9881942868232727,0.014709016308188438,-0.30696067214012146,-0.011839269660413265
1763699239950892800,0.298892822265625,0.005883425939828157,0.009778153151273727,0.15367045998573303,0.9880562424659729,0.018384333699941635,-0.3086630702018738,-0.009048846550285816
1763699239960890000,0.30889013671875,0.006056758109480143,0.010992318391799927,0.15480037033557892,0.9878660440444946,0.020843829959630966,-0.3109647035598755,-0.008994818665087223
1763699239970901200,0.3189013671875,0.007279060315340757,0.011929498054087162,0.1563260555267334,0.9876066446304321,0.02238435670733452,-0.314089834690094,-0.011195860803127289
1763699239980904200,0.328904296875,0.009915262460708618,0.012741454876959324,0.15800224244594574,0.9873067736625671,0.023187503218650818,-0.31755635142326355,-0.01637171395123005
1763699239990918700,0.338918701171875,0.01518932357430458,0.01292173657566309,0.15962950885295868,0.9869755506515503,0.021771077066659927,-0.3209765553474426,-0.02725265733897686
1763699240000926500,0.348926513671875,0.021824495866894722,0.012638289481401443,0.16108578443527222,0.9866181015968323,0.018891416490077972,-0.3240537643432617,-0.041145727038383484
1763699240010932200,0.35893212890625,0.02707774192094803,0.012471421621739864,0.16241371631622314,0.9862722754478455,0.01668901927769184,-0.32683131098747253,-0.05214362218976021
1763699240020939300,0.368939208984375,0.029730146750807762,0.012991037219762802,0.16276225447654724,0.9861317276954651,0.016840282827615738,-0.32761150598526,-0.05749470368027687
1763699240030941200,0.378941162109375,0.03002309240400791,0.013645919971168041,0.16441230475902557,0.9858402609825134,0.01801169104874134,-0.330998957157135,-0.05788129195570946
1763699240040946000,0.38894580078125,0.029928965494036674,0.014083142392337322,0.16668181121349335,0.9854558110237122,0.01883113570511341,-0.3356236517429352,-0.057532522827386856
1763699240050957800,0.398957763671875,0.03048975206911564,0.013843696564435959,0.16907356679439545,0.9850344657897949,0.017997002229094505,-0.34047064185142517,-0.05879245325922966
