time,seconds_elapsed,z,y,x
1763698892779382800,0.1513828125,0.05033225938677788,-0.16284750401973724,0.04593817517161369
1763698892799422000,0.171421875,0.017975807189941406,-0.21317975223064423,0.06138405203819275
1763698892839420000,0.211419921875,-0.009720250964164734,-0.2920069992542267,0.06351451575756073
1763698892849436400,0.2214365234375,-0.008655018173158169,-0.35805144906044006,0.10825430601835251
1763698892879459000,0.251458984375,0.008388710208237171,-0.43687868118286133,0.3575188219547272
1763698892889460700,0.261460693359375,0.014780107885599136,-0.43581345677375793,0.4821510910987854
1763698892899480300,0.271480224609375,0.006258244160562754,-0.43581345677375793,0.6098458766937256
1763698892909444600,0.281444580078125,-0.010785484686493874,-0.3878779709339142,0.7099778056144714
1763698892919490300,0.291490234375,-0.037416309118270874,-0.3303554058074951,0.7536523938179016
1763698892929489200,0.3014892578125,-0.057655736804008484,-0.28668084740638733,0.7334129214286804
1763698892939495200,0.3114951171875,-0.05978620424866676,-0.2483324557542801,0.6737598776817322
1763698892949497000,0.3214970703125,-0.051264338195323944,-0.19613602757453918,0.5981283187866211
1763698892959512300,0.33151220703125,-0.054460037499666214,-0.1844184696674347,0.5139749050140381
1763698892969519600,0.34151953125,-0.07896039634943008,-0.23981058597564697,0.45445504784584045
1763698892979527200,0.351527099609375,-0.10985215753316879,-0.2930722236633301,0.461911678314209
1763698892989534500,0.361534423828125,-0.14393961429595947,-0.3101159632205963,0.5661713480949402
1763698892999529000,0.371529052734375,-0.17589659988880157,-0.27602851390838623,0.7398043274879456
1763698893009531000,0.38153076171875,-0.2141118347644806,-0.23128871619701385,0.9166330099105835
1763698893019550000,0.391550048828125,-0.28441721200942993,-0.19826649129390717,1.0561785697937012
1763698893029559000,0.40155908203125,-0.36750540137290955,-0.21744069457054138,1.1433944702148438
1763698893039562000,0.41156201171875,-0.4047885537147522,-0.2898765504360199,1.1529816389083862
1763698893049568500,0.421568603515625,-0.41117995977401733,-0.4155740439891815,1.0838745832443237
1763698893059570400,0.4315703125,-0.39094051718711853,-0.5082492828369141,0.9677641987800598
1763698893069575200,0.4415751953125,-0.3312874734401703,-0.4603138267993927,0.8218272924423218
1763698893079583000,0.4515830078125,-0.252460241317749,-0.3537905216217041,0.6503247618675232
1763698893089588700,0.461588623046875,-0.16737474501132965,-0.23448441922664642,0.44486793875694275
1763698893099595000,0.471594970703125,-0.0768299326300621,-0.0991998240351677,0.22223423421382904
1763698893109600800,0.481600830078125,0.017975807189941406,0.03288906812667847,0.007057168986648321
1763698893119603700,0.491603759765625,0.09680305421352386,0.14993155002593994,-0.17922545969486237
1763698893129608200,0.501608154296875,0.1468690037727356,0.23621542751789093,-0.32942330837249756
1763698893139613200,0.51161328125,0.1585865616798401,0.2628462612628937,-0.43488138914108276
1763698893149618000,0.521617919921875,0.14367330074310303,0.2085193693637848,-0.48175162076950073
1763698893159646200,0.531646240234375,0.10958584398031235,0.11051792651414871,-0.4732297658920288
1763698893169661000,0.541660888671875,0.07656362652778625,0.017975807189941406,-0.43701183795928955
1763698893179647000,0.55164697265625,0.057389430701732635,-0.061916667968034744,-0.39440253376960754
1763698893189649400,0.5616494140625,0.06910699605941772,-0.11304785311222076,-0.367771714925766
1763698893199663900,0.571663818359375,0.10745538026094437,-0.14287437498569489,-0.3645760118961334
1763698893209671700,0.581671630859375,0.1553908735513687,-0.14500483870506287,-0.386945903301239
1763698893219692000,0.591692138671875,0.19373925030231476,-0.13328728079795837,-0.41357672214508057
1763698893229700900,0.601700927734375,0.21610915660858154,-0.10665645450353622,-0.4199681282043457
1763698893239716400,0.61171630859375,0.21717438101768494,-0.08109086751937866,-0.386945903301239
1763698893249726000,0.621725830078125,0.19800019264221191,-0.060851436108350754,-0.3155752718448639
1763698893259725800,0.631725830078125,0.15965180099010468,-0.060851436108350754,-0.21650861203670502
1763698893269734400,0.641734375,0.12130340933799744,-0.067242830991745,-0.11957240849733353
1763698893279735600,0.651735595703125,0.09786828607320786,-0.08428656309843063,-0.0504654161632061
1763698893289743400,0.661743408203125,0.1031944528222084,-0.12689588963985443,-0.01744319126009941
1763698893299743000,0.671742919921875,0.16284750401973724,-0.18015754222869873,0.012383334338665009
1763698893309749800,0.681749755859375,0.24593567848205566,-0.21211452782154083,0.06244928762316704
1763698893319764500,0.691764404296875,0.30984964966773987,-0.2248973250389099,0.12742850184440613
