time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1763696715506641000,0.173640869140625,-0.1231534406542778,-0.004194391425698996,0.14019635319709778,0.9824258685112,0.027359887957572937,-0.2801482677459717,0.25326985120773315
1763696715566675500,0.233675537109375,-0.15688523650169373,-0.018570883199572563,0.12584684789180756,0.9793899655342102,0.003214786062017083,-0.2550908029079437,0.3180868625640869
1763696715576688400,0.2436884765625,-0.16499146819114685,-0.025927510112524033,0.12658418715000153,0.9777944684028625,-0.00924125500023365,-0.25898781418800354,0.333124041557312
1763696715586642200,0.25364208984375,-0.16985632479190826,-0.03670507296919823,0.1280820071697235,0.9764202833175659,-0.029196685180068016,-0.26570844650268555,0.34056714177131653
1763696715596699100,0.26369921875,-0.17632438242435455,-0.04935538023710251,0.13161292672157288,0.974244236946106,-0.051756005734205246,-0.27739524841308594,0.35086891055107117
1763696715606696400,0.273696533203125,-0.18289421498775482,-0.061999645084142685,0.13738146424293518,0.9715102314949036,-0.0734238401055336,-0.2938232719898224,0.3612896502017975
1763696715616733200,0.283733154296875,-0.18852148950099945,-0.07307912409305573,0.14451168477535248,0.968625545501709,-0.09164833277463913,-0.31257447600364685,0.3699983060359955
1763696715626747100,0.2937470703125,-0.1920548975467682,-0.08207257091999054,0.15218481421470642,0.9660325050354004,-0.10608087480068207,-0.33159953355789185,0.37473076581954956
1763696715636754700,0.303754638671875,-0.1932857483625412,-0.08890925347805023,0.15957818925380707,0.9639868140220642,-0.1170358657836914,-0.34907880425453186,0.3751051127910614
1763696715646766000,0.31376611328125,-0.19295567274093628,-0.09352380782365799,0.1662028580904007,0.962495744228363,-0.12433958798646927,-0.3640170991420746,0.37279054522514343
1763696715656732400,0.323732421875,-0.19142033159732819,-0.09595608711242676,0.1715880036354065,0.9616175293922424,-0.1281070113182068,-0.3755023777484894,0.3686135411262512
1763696715666724600,0.333724609375,-0.1892254501581192,-0.09669215232133865,0.1751362681388855,0.961338460445404,-0.12931030988693237,-0.3825891613960266,0.3636254668235779
1763696715676743400,0.343743408203125,-0.18701398372650146,-0.09641482681035995,0.17675265669822693,0.9615032076835632,-0.1290990561246872,-0.38543078303337097,0.35898056626319885
1763696715686747000,0.353746826171875,-0.18505987524986267,-0.09577915817499161,0.17660768330097198,0.9619713425636292,-0.12863551080226898,-0.384647935628891,0.355025053024292
1763696715696762000,0.36376220703125,-0.18336112797260284,-0.09515707939863205,0.175143763422966,0.9626258015632629,-0.12852934002876282,-0.3812618851661682,0.35161492228507996
1763696715706770400,0.3737705078125,-0.18226905167102814,-0.09473459422588348,0.1725914478302002,0.9633356332778931,-0.12893864512443542,-0.37584787607192993,0.3494385778903961
1763696715716786700,0.38378662109375,-0.1817462295293808,-0.09462681412696838,0.16885921359062195,0.9641061425209045,-0.1301499307155609,-0.3682599365711212,0.3483799695968628
1763696715726798000,0.393798095703125,-0.18184350430965424,-0.0943601131439209,0.16394947469234467,0.9649609923362732,-0.13116519153118134,-0.3583475947380066,0.34873512387275696
1763696715736802000,0.403802001953125,-0.18191729485988617,-0.09334196895360947,0.1584056317806244,0.9659715294837952,-0.13084325194358826,-0.3469080626964569,0.34933358430862427
1763696715746810000,0.41381005859375,-0.18109381198883057,-0.09111522138118744,0.15311147272586823,0.967191755771637,-0.12827777862548828,-0.3354319930076599,0.3484399616718292
1763696715756807400,0.423807373046875,-0.1800876259803772,-0.08802135288715363,0.14838552474975586,0.9684019684791565,-0.12380720674991608,-0.324776291847229,0.3474181592464447
1763696715766811000,0.433810791015625,-0.1796487271785736,-0.08557189255952835,0.14473243057727814,0.9692555665969849,-0.12012358754873276,-0.31657248735427856,0.3473379611968994
