time,acc_z,acc_y,acc_x,gyr_z,gyr_y,gyr_x,grav_z,grav_y,grav_x,yaw,qx,qz,roll,qw,qy,pitch
2025-11-21 04:28:03.220,-2.0823884581029413,-34.03488826624155,-12.801694570046662,7.509225845336914,-1.1814196109771729,2.514564752578736,3.1692057896882293,-9.039344023755191,-2.1016125062718984,1.680075224198513,0.1745342359229451,0.6903555506463268,0.5855538907268123,-0.4134022296215012,-0.5549353756289266,1.172586367132582
2025-11-21 04:28:03.230,-1.7899667697399853,-41.97750029811859,-4.1156303157210345,6.0915207862854,-0.7749307155609131,2.4810476303100586,3.417575278095901,-8.789303095003962,-2.6904864536881443,1.580110918868402,0.1532515048420082,0.6903555506463268,0.6669181020086251,-0.442344069848438,-0.5497873502798996,1.1112628067358108
2025-11-21 04:28:03.240,-2.1414321832239627,-47.05451247050762,6.1703475075662135,3.8046488761901855,-0.4081977307796478,2.5173707008361816,3.650527124880254,-8.55950006763935,-3.094995767356455,1.5319566898290893,0.1363828752487547,0.6869676936811745,0.7032280256402206,-0.4628180097448176,-0.5433917747553236,1.060963468659044
2025-11-21 04:28:03.250,-5.782154245665669,-39.78316771483421,10.628284363281724,2.890341758728028,0.9177067279815674,2.963826894760132,3.87247914648354,-8.350311958280205,-3.3832802097842096,1.5177827807763309,0.1201998061794143,0.6867745945156375,0.7180778603563992,-0.4751654383996493,-0.5367592673762919,1.018829509702949
2025-11-21 04:28:03.260,-5.494692225536704,-27.171432237541676,9.989259314513204,2.6584408283233643,0.994264841079712,3.2736239433288574,4.095730267986655,-8.127778629657625,-3.651657590214908,1.51864210605594,0.1015981657268956,0.6892700574992242,0.7281417959501895,-0.4834574109425326,-0.5299563003937728,0.976964654886389
2025-11-21 04:28:03.270,-2.999156681540608,-17.877433653759955,5.541942637011409,3.0737051963806152,0.225994735956192,2.851327657699585,4.321953391037881,-7.889263303527236,-3.905206527087093,1.5178558535044475,0.0844442491210335,0.6903555506463268,0.7347864087024898,-0.4931578630877724,-0.5220257373109886,0.9348011773589452
2025-11-21 04:28:03.280,-7.0410443001806735,-12.677384299767017,0.9469830366984008,3.440305233001709,-0.4418200552463531,2.2074716091156006,4.523241102536022,-7.644599391639232,-4.15581151946187,1.5060037022652932,0.08417102850064395,0.6890765456791648,0.743088180278511,-0.5057614087774981,-0.5142790991330728,0.8939186217810947
2025-11-21 04:28:03.290,-7.286431265646219,-10.274681353247166,-1.1161851726278662,3.432520866394043,-1.0817716121673584,1.701011300086975,4.701889988985657,-7.407095288378,-4.381499804984033,1.4869479717334164,0.08417102850064395,0.6849126449834421,0.7501407058666535,-0.5202155524454166,-0.506773175486918,0.85613238267027
2025-11-21 04:28:03.300,-4.297274000072479,-7.566666841652989,-2.313097786657512,3.1633217334747314,-2.087241649627685,1.3928282260894775,4.884600718046724,-7.184457914859056,-4.549132791900634,1.4663922042960484,0.08417102850064395,0.6796088037539925,0.7498526754590398,-0.5358890435584167,-0.4982865501370829,0.822149870042855
2025-11-21 04:28:03.310,-1.5856699395537377,-4.574987364125252,-3.563729715915024,2.598494529724121,-3.514269590377808,1.0069668292999268,5.098412687814236,-6.990802305674553,-4.615760980801284,1.4473077896085424,0.08417102850064395,0.6739788698082694,0.7357537051472528,-0.5529006698929656,-0.4873317949423822,0.7935728555658751
