time,seconds_elapsed,z,y,x
1763701031857437000,0.04443701171875,-0.016459399834275246,-0.12605513632297516,0.11321496963500977
1763701031867458800,0.054458740234375,-0.05645928159356117,-0.16400012373924255,0.22624698281288147
1763701031877481000,0.06448095703125,-0.08629734069108963,-0.18444840610027313,0.31247055530548096
1763701031887502300,0.07450244140625,-0.10347605496644974,-0.21071675419807434,0.3676765561103821
1763701031897524500,0.0845244140625,-0.115559883415699,-0.21443000435829163,0.4040026068687439
1763701031907546400,0.09454638671875,-0.11813622713088989,-0.17895883321762085,0.40049228072166443
1763701031917567200,0.104567138671875,-0.14129000902175903,-0.060152817517519,0.3349761366844177
1763701031927589400,0.11458935546875,-0.0857631042599678,-0.11347968876361847,0.28319281339645386
1763701031937611300,0.124611328125,0.005918342620134354,-0.18675656616687775,0.21829664707183838
1763701031947633200,0.134633056640625,0.1274074912071228,-0.17086654901504517,0.14733539521694183
1763701031957654300,0.144654296875,0.30598708987236023,-0.1481713503599167,0.09994710236787796
1763701031967676400,0.154676513671875,0.538118302822113,-0.1748141497373581,0.07117058336734772
1763701031977698300,0.1646982421875,0.8404502272605896,-0.2143559753894806,0.0920092836022377
1763701031987719400,0.174719482421875,1.201291799545288,-0.23475845158100128,0.16016170382499695
1763701031997741600,0.184741455078125,1.5648984909057617,-0.2452467679977417,0.22954131662845612
1763701032007763500,0.194763427734375,1.8457306623458862,-0.21979494392871857,0.27386218309402466
1763701032017785300,0.204785400390625,2.007948398590088,-0.11653460562229156,0.26502153277397156
1763701032027806200,0.21480615234375,2.0816166400909424,0.05908249318599701,0.16676688194274902
1763701032037828400,0.224828369140625,2.102613687515259,0.21640580892562866,-0.061891332268714905
1763701032047850500,0.2348505859375,2.0835278034210205,0.5035036206245422,-0.4002837538719177
1763701032057871400,0.244871337890625,2.0831589698791504,0.8218981027603149,-0.7829800248146057
1763701032067893200,0.254893310546875,2.12390398979187,0.9275062680244446,-1.2046194076538086
1763701032077915400,0.264915283203125,2.1609458923339844,0.954520583152771,-1.5548322200775146
1763701032087937300,0.274937255859375,2.118145227432251,1.0054551362991333,-1.8366870880126953
1763701032097958400,0.28495849609375,1.8759019374847412,1.1922415494918823,-2.0388526916503906
1763701032107980300,0.294980224609375,1.5549209117889404,1.441878318786621,-2.1205763816833496
1763701032118002400,0.30500244140625,1.2270104885101318,1.4943177700042725,-2.1397705078125
1763701032128023300,0.315023193359375,0.9167218208312988,1.3525211811065674,-2.050691604614258
1763701032138045200,0.325045166015625,0.7121564149856567,1.0158785581588745,-1.8466109037399292
1763701032148067300,0.3350673828125,0.6474906206130981,0.6713935732841492,-1.5967565774917603
1763701032158088400,0.34508837890625,0.7071600556373596,0.3974147439002991,-1.2916555404663086
1763701032168110300,0.3551103515625,0.8077559471130371,0.137666255235672,-0.9235464334487915
1763701032178132200,0.36513232421875,0.7651738524436951,-0.10818558931350708,-0.514052152633667
1763701032188154400,0.375154296875,0.6532638072967529,-0.41280195116996765,-0.23949967324733734
1763701032198175500,0.385175537109375,0.6592916250228882,-0.5350673794746399,-0.16714131832122803
1763701032208197400,0.395197265625,0.8047888875007629,-0.39239388704299927,-0.23406149446964264
1763701032218219300,0.40521923828125,0.9539200663566589,-0.2338327318429947,-0.3965148627758026
1763701032228240100,0.415240234375,1.0029038190841675,-0.1346915066242218,-0.6016818284988403
1763701032238262500,0.425262451171875,0.9687629342079163,0.0034322820138186216,-0.8242600560188293
1763701032248284400,0.435284423828125,0.9006978273391724,0.16572637856006622,-1.0647530555725098
1763701032258306300,0.445306396484375,0.8223468661308289,0.22686563432216644,-1.2707512378692627
1763701032268327200,0.4553271484375,0.7337807416915894,0.2562490999698639,-1.3725786209106445
1763701032278349300,0.465349365234375,0.670296847820282,0.14308205246925354,-1.3577346801757812
1763701032288371200,0.47537109375,0.6216982007026672,-0.19777299463748932,-1.2056788206100464
1763701032298392300,0.485392333984375,0.5788127779960632,-0.5693915486335754,-0.8948407769203186
1763701032308414500,0.49541455078125,0.5340546369552612,-0.81068354845047,-0.49620309472084045
1763701032318436400,0.505436279296875,0.5001059770584106,-0.8743584156036377,-0.17102394998073578
1763701032328458200,0.515458251953125,0.44436973333358765,-0.906327486038208,-0.011985822580754757
1763701032338479400,0.525479248046875,0.31685972213745117,-0.9087741374969482,-0.04129071533679962
1763701032348501500,0.53550146484375,0.2192165106534958,-0.9539163112640381,-0.16275669634342194
1763701032358523400,0.5455234375,0.21127788722515106,-0.9850550889968872,-0.29531607031822205
1763701032368544300,0.555544189453125,0.2810881435871124,-0.9230625629425049,-0.3737674653530121
1763701032378566100,0.565566162109375,0.4145979881286621,-0.916786789894104,-0.3874153792858124
1763701032388588500,0.575588623046875,0.5600119233131409,-0.9674899578094482,-0.3222113251686096
1763701032398609400,0.585609375,0.6546859741210938,-0.8922652006149292,-0.20591481029987335
1763701032408631300,0.59563134765625,0.7397329211235046,-0.747390866279602,-0.12431050091981888
1763701032418653200,0.605653076171875,0.8197073936462402,-0.6085730791091919,-0.11289139837026596
1763701032428675300,0.61567529296875,0.8699745535850525,-0.4638174772262573,-0.15263481438159943
1763701032438696400,0.625696533203125,0.8886973857879639,-0.3757328689098358,-0.20751111209392548
1763701032448718300,0.63571826171875,0.9116621017456055,-0.4678167402744293,-0.23307985067367554
1763701032458740200,0.645740234375,0.9080660343170166,-0.6999698281288147,-0.18235942721366882
1763701032468761300,0.65576123046875,0.877923309803009,-0.8716387748718262,-0.08383391052484512
1763701032478783500,0.665783447265625,0.8455073237419128,-0.9304237961769104,-0.03520006686449051
1763701032488805400,0.675805419921875,0.8172500729560852,-0.9326003789901733,-0.05938476324081421
1763701032498827500,0.68582763671875,0.7785682082176208,-0.9132717251777649,-0.08939272910356522
1763701032508848400,0.695848388671875,0.7332446575164795,-0.8182075023651123,-0.08758710324764252
1763701032518870300,0.705870361328125,0.6888809204101562,-0.7486337423324585,-0.03494147211313248
1763701032528892200,0.71589208984375,0.6409059762954712,-0.774669885635376,0.05124960467219353
1763701032538913300,0.725913330078125,0.4532577693462372,-0.21745802462100983,0.4287598729133606
1763701032548935400,0.735935302734375,0.5217593312263489,-0.3737184703350067,0.3618708550930023
1763701032558957300,0.745957275390625,0.650037407875061,-0.38406139612197876,0.18687108159065247
1763701032568978400,0.755978515625,0.4216814637184143,-0.11878923326730728,0.21833020448684692
1763701032579000300,0.766000244140625,0.19358491897583008,-0.11631515622138977,0.09962086379528046
1763701032589022500,0.7760224609375,0.11781531572341919,-0.09790392965078354,-0.0008703210623934865
1763701032599044400,0.78604443359375,0.11386878043413162,-0.10786574333906174,-0.08463792502880096
1763701032609065200,0.796065185546875,0.10112795233726501,-0.11412523686885834,-0.17362505197525024
1763701032619087400,0.80608740234375,0.08294974267482758,-0.13438311219215393,-0.13310904800891876
1763701032629109500,0.816109619140625,0.1453912854194641,-0.2752835154533386,-0.1056838184595108
1763701032639130400,0.82613037109375,0.22055473923683167,-0.31588420271873474,-0.05951712280511856
1763701032649152300,0.83615234375,0.27279743552207947,-0.21507954597473145,-0.05052442476153374
1763701032659174400,0.84617431640625,0.3393911123275757,-0.3808211088180542,-0.0004348942020442337
1763701032669196300,0.8561962890625,0.348664790391922,-0.4047253727912903,0.048766206949949265
1763701032679217400,0.866217529296875,0.3472048342227936,-0.3210640549659729,0.11883131414651871
