time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763698893264055000,0.070054931640625,-2.2709055076823237,-0.07314491062162812,-0.8945500145325367,-0.012277122903527558,-0.41714523387550306,-0.1428982149145758,-0.32223077009869244
1763698893274006000,0.080006103515625,-2.269043183043097,-0.07262321069188513,-0.8941432049410625,-0.010229752130900492,-0.4177919347913786,-0.1438181108348734,-0.32348291949111874
1763698893283958000,0.0899580078125,-2.266643120455276,-0.07190462368566657,-0.893691546542174,-0.008057074367755952,-0.4186958703727233,-0.14435655080326298,-0.32386478843615485
1763698893293909000,0.099908935546875,-2.2637096150760723,-0.07089919232449246,-0.8932183770525447,-0.00569836301204276,-0.41986166219886,-0.1443968659394637,-0.3230830212521069
1763698893303860000,0.10985986328125,-2.2603924229020937,-0.06967420326081027,-0.8927606651808432,-0.0034567927522731173,-0.4212543284079397,-0.1437663893475449,-0.32087716351933404
1763698893313812000,0.11981201171875,-2.256814743228393,-0.06848427933277398,-0.8923254297826468,-0.001977924108096709,-0.42286941878617645,-0.142291263762926,-0.3171500791195327
1763698893323763200,0.12976318359375,-2.2530816237728324,-0.06743375498732598,-0.8919123921509419,-0.0014390672589810656,-0.4246649590387487,-0.14001678905962137,-0.3120801000361394
1763698893333714000,0.1397138671875,-2.249200895772066,-0.06642028669434498,-0.8915056242591584,-0.001434052144429043,-0.42659239345102457,-0.13720440437857812,-0.3060617728036112
1763698893343666200,0.149666259765625,-2.245085926726298,-0.06532388022859048,-0.8910670507396227,-0.0014576022685083394,-0.42863721150874157,-0.13417317586902394,-0.29957596495288197
1763698893353617000,0.159616943359375,-2.2407158561339315,-0.06409492124726754,-0.890565529562853,-0.001137685066604491,-0.43076608476995143,-0.13124560543430597,-0.29316691269421424
1763698893363568000,0.169568115234375,-2.236120460059014,-0.06283276669027485,-0.8899738563436909,-0.00045142850111699336,-0.43294955553144265,-0.12865946975170436,-0.28735217723628903
1763698893373519400,0.179519287109375,-2.2313055350789956,-0.06156649196039256,-0.8892808695499237,0.000656271752628801,-0.43517568348129837,-0.1265352047290816,-0.2823726890192966
1763698893383470300,0.18947021484375,-2.226097885838954,-0.060250194032820996,-0.8884497751022404,0.0023690454035355944,-0.43750836827038164,-0.1249535128702543,-0.2783294463013567
1763698893393421300,0.19942138671875,-2.2202086219793813,-0.058881020850354696,-0.8874165798472693,0.004769818609939613,-0.44006926144900926,-0.12395117270395282,-0.27527968914886747
1763698893403373600,0.20937353515625,-2.2134574097875004,-0.057348964937607376,-0.8861611056884622,0.008004375014901883,-0.44293704662063194,-0.12343606936403426,-0.2729490172550542
1763698893413324300,0.21932421875,-2.205916430328205,-0.05570093549106621,-0.8847054631276069,0.011825071707561254,-0.44610162092817646,-0.12323525807886054,-0.2710573882042504
1763698893423275500,0.229275634765625,-2.1975049129061683,-0.05407233740815929,-0.8830299121259222,0.01582959089378163,-0.4496286784482517,-0.12316058168750356,-0.2693800570194227
1763698893433227300,0.239227294921875,-2.187957865697535,-0.052551645543679464,-0.8810689368408698,0.019818119674306467,-0.4536467235138387,-0.12312829575348894,-0.26783971582863964
1763698893443178500,0.249178466796875,-2.177013522888773,-0.05092281716664503,-0.8787722464028451,0.024290927674322907,-0.45823828488059704,-0.12322302088403383,-0.26637861573028776
1763698893453129200,0.259129150390625,-2.1645964349407567,-0.04916386892741544,-0.8761073930193017,0.029392690003296675,-0.46341664544585254,-0.12354664116079801,-0.2651426768469754
1763698893463081500,0.26908154296875,-2.1508419998467074,-0.04705038104851509,-0.8731091665702154,0.03558655469411207,-0.4690897053400701,-0.12418321952754476,-0.26405041554932357
1763698893473032400,0.279032470703125,-2.135959552133839,-0.04430488300384291,-0.8698289913493324,0.04347222488152633,-0.47512266091528005,-0.12527177723859664,-0.26305384639039636
1763698893482984200,0.288984130859375,-2.1200207087873824,-0.041073279466908266,-0.8662532986093349,0.052841006994759104,-0.4814796129110926,-0.12686821933759776,-0.2623511016864362
