time,seconds_elapsed,z,y,x
1763690860395521300,0.190521240234375,0,0,0
1763690860405107200,0.200107177734375,-0.026336669921875,0.0162428617477417,0.022013328969478607
1763690860443451000,0.238450927734375,0.06774711608886719,0.09067738056182861,-0.0657561868429184
1763690860462622000,0.2576220703125,0.05077552795410156,0.05223965644836426,-0.10067877173423767
1763690860472208600,0.267208740234375,-0.057064056396484375,0.03204214572906494,-0.08051760494709015
1763690860481794600,0.276794677734375,-0.09889793395996094,0.021001815795898438,-0.00041621923446655273
1763690860491379700,0.286379638671875,-0.022754669189453125,0.08402645587921143,0.07994595170021057
1763690860500965600,0.295965576171875,0.04890632629394531,0.132590651512146,0.11842180788516998
1763690860510552300,0.30555224609375,0.011439323425292969,0.11945164203643799,0.15157991647720337
1763690860520138200,0.31513818359375,-0.05889606475830078,0.10599398612976074,0.12608283758163452
1763690860529723400,0.324723388671875,-0.14958572387695312,0.12817418575286865,0.06586653739213943
1763690860539308300,0.334308349609375,-0.21106243133544922,0.09570586681365967,0.03564317524433136
1763690860548895000,0.34389501953125,-0.24776840209960938,0.02090156078338623,0.040438905358314514
1763690860558481000,0.35348095703125,-0.21355247497558594,-0.018458247184753418,0.04073125123977661
1763690860568066000,0.363066162109375,-0.09354209899902344,-0.01813948154449463,0.011952787637710571
1763690860577652000,0.37265185546875,0.047575950622558594,-0.00851297378540039,0.057202860713005066
1763690860587238700,0.38223876953125,0.29451560974121094,-0.008753180503845215,0.20946326851844788
1763690860596824600,0.391824462890625,0.3584709167480469,0.010907173156738281,0.2895462214946747
1763690860606409700,0.40140966796875,0.17444324493408203,0.041654109954833984,0.2552834749221802
1763690860615995600,0.41099560546875,-0.08983421325683594,0.06227374076843262,0.11573699116706848
1763690860625582300,0.420582275390625,-0.22333908081054688,0.05198955535888672,-0.051504433155059814
1763690860635168300,0.430168212890625,-0.2880373001098633,0.009374856948852539,-0.1318548023700714
1763690860644753400,0.43975341796875,-0.6434354782104492,-0.06285691261291504,-0.15463456511497498
1763690860654339300,0.44933935546875,-0.5309457778930664,-0.17822182178497314,-0.1980980634689331
1763690860663926000,0.458926025390625,-0.38684558868408203,-0.2896902561187744,-0.14084583520889282
1763690860673512000,0.468511962890625,-0.3508157730102539,-0.36414361000061035,-0.1290910243988037
1763690860683097000,0.47809716796875,-0.28485107421875,-0.31699633598327637,-0.2978690564632416
1763690860692683000,0.48768310546875,-0.3169708251953125,-0.230582594871521,-0.457543283700943
