time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763699237699444200,0.0524443359375,0.2679373529329145,0.14294346537277655,-0.1339384472777078,-0.025034941458276547,0.9801116970325204,-0.031760473790738625,-0.2928781660963081
1763699237709404200,0.062404052734375,0.2682082215754401,0.14271075099218025,-0.134047577288401,-0.024678056064210384,0.9801368250907384,-0.031571364385379073,-0.2923635217946048
1763699237719365400,0.072365478515625,0.2680255545999725,0.14288076480859035,-0.1339301767526543,-0.024302777892964297,0.9801338640753683,-0.03139329858638574,-0.29265314150055755
1763699237729325300,0.0823251953125,0.2674550241590132,0.14329414443526706,-0.1336445463711591,-0.02426167115355379,0.9801126606544303,-0.031385703640777814,-0.29347236454269016
1763699237739285200,0.09228515625,0.2666434447769798,0.14380471080870483,-0.1332772009321735,-0.024741191676977164,0.98007999441878,-0.031632623101563055,-0.2945529213421322
1763699237749245400,0.102245361328125,0.265743115666654,0.14424595269067225,-0.13290762200333422,-0.02578573293716815,0.9800486905649107,-0.03214515872739692,-0.29556540811558557
1763699237759206400,0.112206298828125,0.26501114034713197,0.14452661135973835,-0.13262614072108314,-0.026886863003206248,0.9800278533063906,-0.03267684260675665,-0.2962627463351744
1763699237769166300,0.122166259765625,0.2645089752982214,0.1446238962880462,-0.132454878452253,-0.027935270793416914,0.9800199533421763,-0.033175048234880586,-0.29658603150095225
1763699237779126500,0.13212646484375,0.26415388972370507,0.14453009635720315,-0.13236422052541655,-0.029086305347056047,0.9800277746308438,-0.0337103226722073,-0.2965380326182225
1763699237789087200,0.142087158203125,0.2638883051490025,0.14427092911010012,-0.13232561405864968,-0.030341605062656145,0.9800512733835846,-0.034282696513712664,-0.29616964863276657
1763699237799047200,0.152047119140625,0.26368207839132585,0.14387010009040602,-0.13232523143104263,-0.03172070766523971,0.9800883533886167,-0.034902842791981845,-0.2955310015160571
1763699237809007400,0.16200732421875,0.26347899537048003,0.1433704782226924,-0.1323314509100291,-0.033173625898171924,0.9801376228836362,-0.03554730638378262,-0.29470089486977924
1763699237818968300,0.17196826171875,0.26323392148950814,0.14280515222905543,-0.13231942875987962,-0.03466677983287661,0.9801978394607881,-0.03620037710053273,-0.2937406068333084
1763699237828928300,0.18192822265625,0.2629423411946088,0.14222215893900106,-0.13227721205530787,-0.036067050130562106,0.9802659515946699,-0.036801625593782646,-0.2927299485682425
1763699237838888400,0.191888427734375,0.2625805036627369,0.1416758862891524,-0.13219097943434366,-0.03734359031160962,0.9803362259212384,-0.03734101337436358,-0.2917746251288471
1763699237848849400,0.201849365234375,0.2621420270210268,0.14120487457417516,-0.13205908211831052,-0.03851556848544556,0.9804031255821771,-0.037832609898747226,-0.29095548306883556
1763699237858809300,0.211809326171875,0.2617050144762913,0.14081136791299806,-0.13192025166805285,-0.0395861526137555,0.9804608666509264,-0.03828395984401294,-0.29028042653917513
1763699237868769300,0.221769287109375,0.26134731356157864,0.1405057091440646,-0.1318139014501289,-0.0405703301987737,0.9805023148248261,-0.03870945423496053,-0.28977564853740834
1763699237878730200,0.231730224609375,0.26107961068419094,0.14029943801143382,-0.13174495623859303,-0.041460889441997974,0.980525415134027,-0.03910765179057832,-0.2894642460465424
1763699237888690200,0.241690185546875,0.2609263094216008,0.14016997662504319,-0.13171976197547045,-0.04217546589493737,0.9805340611923138,-0.03943629532120501,-0.2892901583859178
1763699237898650400,0.251650390625,0.26086844678227183,0.14008166466382346,-0.13172330336809757,-0.04263279083917592,0.9805376885283071,-0.03964885153492363,-0.28916924303553593
1763699237908611300,0.261611328125,0.26097967710835185,0.14002020398042445,-0.13179602784434324,-0.04289381138376534,0.9805313418520697,-0.039779229761159315,-0.289083511807121
1763699237918571300,0.2715712890625,0.2612778263360422,0.13998188749942586,-0.13195031078016098,-0.04301052467657768,0.9805130172681755,-0.03985415755839451,-0.289033201326113
1763699237928531500,0.281531494140625,0.26178867501425757,0.13998645056294975,-0.13220555925313923,-0.04307868540799725,0.9804751426180309,-0.03992579477106372,-0.2890724615774259
1763699237938492400,0.291492431640625,0.2626802919777541,0.14006608778517374,-0.1326327248627677,-0.04293404061512632,0.9804059499927046,-0.0399286191769282,-0.2892515368385137
1763699237948452400,0.301452392578125,0.26414794092379046,0.140226237616671,-0.1333409648870992,-0.04276932908833328,0.9802851282331003,-0.03997380692545707,-0.2896154200843685
1763699237958412300,0.311412353515625,0.26620618689321274,0.14054628525508644,-0.13433939796692865,-0.04261321402061983,0.9800983480912862,-0.04008744209591168,-0.29033060500403324
1763699237968373200,0.321373291015625,0.2688046460227047,0.14104695437483075,-0.13557884278753513,-0.042122647671021994,0.9798553050339898,-0.040098277511039324,-0.2913902732307088
1763699237978333200,0.331333251953125,0.2718170490738361,0.14169297379975038,-0.13700511525003384,-0.041415698536285114,0.9795654215462363,-0.04005236124528604,-0.2927327885343001
1763699237988293400,0.34129345703125,0.2749237287252064,0.1423377736042596,-0.13853258838408616,-0.0414980185347328,0.9792424591069532,-0.04040910647697595,-0.2941874860230146
1763699237998253300,0.35125341796875,0.27803229759530973,0.14278286745741056,-0.1401465870499989,-0.04278849807055701,0.9789089238210772,-0.04134378872011452,-0.2954090733199998
1763699238008214300,0.36121435546875,0.2816881444658305,0.14287891669739208,-0.14207405652385421,-0.04472286015228125,0.978563458971006,-0.042594014808160045,-0.2960404347829539
1763699238018174500,0.371174560546875,0.2859183339352894,0.1424052311476522,-0.14433056361953256,-0.04735094190817431,0.9782330808025936,-0.044154368303665696,-0.29564472686789867
1763699238028134400,0.381134521484375,0.2906339337360771,0.1413109543377634,-0.1468771703860536,-0.050772440226262955,0.9779248792239609,-0.046057604357631,-0.2941355323725376
1763699238038095400,0.391095458984375,0.29577409527304244,0.13972945424018263,-0.14970731499353443,-0.055362826797716334,0.977604719986978,-0.04850206970826272,-0.29184800702446073
