time,seconds_elapsed,z,y,x
1763701325270615600,0.157615478515625,9.40939712524414,2.4434127807617188,-1.289720058441162
1763701325291450400,0.178450439453125,9.455755233764648,2.2266910076141357,-1.3419876098632812
1763701325311317500,0.1983173828125,9.458975791931152,2.1689701080322266,-1.4119983911514282
1763701325320907300,0.2079072265625,9.459196090698242,2.180344820022583,-1.3928697109222412
1763701325331033600,0.21803369140625,9.461114883422852,2.167097806930542,-1.4004919528961182
1763701325341160000,0.228159912109375,9.467106819152832,2.165832996368408,-1.3614054918289185
1763701325351824400,0.238824462890625,9.483237266540527,2.1567490100860596,-1.2597726583480835
1763701325361950700,0.24895068359375,9.501201629638672,2.127790689468384,-1.170496940612793
1763701325372077000,0.2590771484375,9.50869369506836,2.1182169914245605,-1.1261886358261108
1763701325382083000,0.2690830078125,9.50644588470459,2.137143611907959,-1.1092791557312012
1763701325392209400,0.27920947265625,9.49761962890625,2.1758334636688232,-1.1096655130386353
1763701325402335700,0.289335693359375,9.482185363769531,2.234419345855713,-1.1251298189163208
1763701325421868300,0.308868408203125,9.445643424987793,2.354947328567505,-1.1850868463516235
1763701325431994600,0.31899462890625,9.433520317077637,2.38634991645813,-1.218363881111145
1763701325442556200,0.32955615234375,9.417779922485352,2.4199600219726562,-1.2726365327835083
1763701325452682200,0.33968212890625,9.399823188781738,2.4549713134765625,-1.3367223739624023
1763701325472834000,0.359833984375,9.36311149597168,2.5233869552612305,-1.4611786603927612
1763701325482960400,0.36996044921875,9.34912395477295,2.544625997543335,-1.5129863023757935
1763701325493086700,0.380086669921875,9.336708068847656,2.5587849617004395,-1.5648971796035767
1763701325503042000,0.3900419921875,9.322595596313477,2.5766777992248535,-1.618746280670166
1763701325513168400,0.40016845703125,9.307791709899902,2.599792718887329,-1.6662793159484863
1763701325523294700,0.410294677734375,9.29116153717041,2.619779586791992,-1.7266865968704224
1763701325542850800,0.429850830078125,9.2638578414917,2.693474769592285,-1.7596943378448486
1763701325552977200,0.43997705078125,9.237025260925293,2.7570629119873047,-1.8017610311508179
1763701325562958000,0.4499580078125,9.201630592346191,2.845121145248413,-1.8454467058181763
